County,State,Population 2000
,,
,,
Autauga County,Alabama,43671
Baldwin County,Alabama,140415
Barbour County,Alabama,29038
Bibb County,Alabama,20826
Blount County,Alabama,51024
Bullock County,Alabama,11714
Butler County,Alabama,21399
Calhoun County,Alabama,112249
Chambers County,Alabama,36583
Cherokee County,Alabama,23988
Chilton County,Alabama,39593
Choctaw County,Alabama,15922
Clarke County,Alabama,27867
Clay County,Alabama,14254
Cleburne County,Alabama,14123
Coffee County,Alabama,43615
Colbert County,Alabama,54984
Conecuh County,Alabama,14089
Coosa County,Alabama,12202
Covington County,Alabama,37631
Crenshaw County,Alabama,13665
Cullman County,Alabama,77483
Dale County,Alabama,49129
Dallas County,Alabama,46365
DeKalb County,Alabama,64452
Elmore County,Alabama,65874
Escambia County,Alabama,38440
Etowah County,Alabama,103459
Fayette County,Alabama,18495
Franklin County,Alabama,31223
Geneva County,Alabama,25764
Greene County,Alabama,9974
Hale County,Alabama,17185
Henry County,Alabama,16310
Houston County,Alabama,88787
Jackson County,Alabama,53926
Jefferson County,Alabama,662047
Lamar County,Alabama,15904
Lauderdale County,Alabama,87966
Lawrence County,Alabama,34803
Lee County,Alabama,115092
Limestone County,Alabama,65676
Lowndes County,Alabama,13473
Macon County,Alabama,24105
Madison County,Alabama,276700
Marengo County,Alabama,22539
Marion County,Alabama,31214
Marshall County,Alabama,82231
Mobile County,Alabama,399843
Monroe County,Alabama,24324
Montgomery County,Alabama,223510
Morgan County,Alabama,111064
Perry County,Alabama,11861
Pickens County,Alabama,20949
Pike County,Alabama,29605
Randolph County,Alabama,22380
Russell County,Alabama,49756
St. Clair County,Alabama,64742
Shelby County,Alabama,143293
Sumter County,Alabama,14798
Talladega County,Alabama,80321
Tallapoosa County,Alabama,41475
Tuscaloosa County,Alabama,164875
Walker County,Alabama,70713
Washington County,Alabama,18097
Wilcox County,Alabama,13183
Winston County,Alabama,24843
Aleutians East Borough,Alaska,2697
Aleutians West Census Area,Alaska,5465
"Anchorage, Municipality of",Alaska,260283
Bethel Census Area,Alaska,16006
Bristol Bay Borough,Alaska,1258
Denali Borough,Alaska,1893
Dillingham Census Area,Alaska,4922
Fairbanks North Star Borough,Alaska,82840
Haines Borough,Alaska,2392
Hoonah-Angoon Census Area,Alaska,
"Juneau, City and Borough",Alaska,30711
Kenai Peninsula Borough,Alaska,49691
Ketchikan Gateway Borough,Alaska,14070
Kodiak Island Borough,Alaska,13913
Lake and Peninsula Borough,Alaska,1823
Matanuska-Susitna Borough,Alaska,59322
Nome Census Area,Alaska,9196
North Slope Borough,Alaska,7385
Northwest Arctic Borough,Alaska,7208
Petersburg Census Area,Alaska,
Prince of Wales-Hyder Census Area,Alaska,6146
"Sitka, City and Borough of",Alaska,8835
"Skagway Borough, Municipality of",Alaska,3436
Southeast Fairbanks Census Area,Alaska,6174
Valdez-Cordova Census Area,Alaska,10195
Wade Hampton Census Area,Alaska,7028
"Wrangell, City and Borough of",Alaska,6684
"Yakutat, City and Borough of",Alaska,808
Yukon-Koyukuk Census Area,Alaska,6551
Apache County,Arizona,69423
Cochise County,Arizona,117755
Coconino County,Arizona,116320
Gila County,Arizona,51335
Graham County,Arizona,33489
Greenlee County,Arizona,8547
La Paz County,Arizona,19715
Maricopa County,Arizona,3072149
Mohave County,Arizona,155032
Navajo County,Arizona,97470
Pima County,Arizona,843746
Pinal County,Arizona,179727
Santa Cruz County,Arizona,38381
Yavapai County,Arizona,167517
Yuma County,Arizona,160026
Arkansas County,Arkansas,20749
Ashley County,Arkansas,24209
Baxter County,Arkansas,38386
Benton County,Arkansas,153406
Boone County,Arkansas,33948
Bradley County,Arkansas,12600
Calhoun County,Arkansas,5744
Carroll County,Arkansas,25357
Chicot County,Arkansas,14117
Clark County,Arkansas,23546
Clay County,Arkansas,17609
Cleburne County,Arkansas,24046
Cleveland County,Arkansas,8571
Columbia County,Arkansas,25603
Conway County,Arkansas,20336
Craighead County,Arkansas,82148
Crawford County,Arkansas,53247
Crittenden County,Arkansas,50866
Cross County,Arkansas,19526
Dallas County,Arkansas,9210
Desha County,Arkansas,15341
Drew County,Arkansas,18723
Faulkner County,Arkansas,86014
Franklin County,Arkansas,17771
Fulton County,Arkansas,11642
Garland County,Arkansas,88068
Grant County,Arkansas,16464
Greene County,Arkansas,37331
Hempstead County,Arkansas,23587
Hot Spring County,Arkansas,30353
Howard County,Arkansas,14300
Independence County,Arkansas,34233
Izard County,Arkansas,13249
Jackson County,Arkansas,18418
Jefferson County,Arkansas,84278
Johnson County,Arkansas,22781
Lafayette County,Arkansas,8559
Lawrence County,Arkansas,17774
Lee County,Arkansas,12580
Lincoln County,Arkansas,14492
Little River County,Arkansas,13628
Logan County,Arkansas,22486
Lonoke County,Arkansas,52828
Madison County,Arkansas,14243
Marion County,Arkansas,16140
Miller County,Arkansas,40443
Mississippi County,Arkansas,51979
Monroe County,Arkansas,10254
Montgomery County,Arkansas,9245
Nevada County,Arkansas,9955
Newton County,Arkansas,8608
Ouachita County,Arkansas,28790
Perry County,Arkansas,10209
Phillips County,Arkansas,26445
Pike County,Arkansas,11303
Poinsett County,Arkansas,25614
Polk County,Arkansas,20229
Pope County,Arkansas,54469
Prairie County,Arkansas,9539
Pulaski County,Arkansas,361474
Randolph County,Arkansas,18195
St. Francis County,Arkansas,29329
Saline County,Arkansas,83529
Scott County,Arkansas,10996
Searcy County,Arkansas,8261
Sebastian County,Arkansas,115071
Sevier County,Arkansas,15757
Sharp County,Arkansas,17119
Stone County,Arkansas,11499
Union County,Arkansas,45629
Van Buren County,Arkansas,16192
Washington County,Arkansas,157715
White County,Arkansas,67165
Woodruff County,Arkansas,8741
Yell County,Arkansas,21139
Alameda County,California,1443741
Alpine County,California,1208
Amador County,California,35100
Butte County,California,203171
Calaveras County,California,40554
Colusa County,California,18804
Contra Costa County,California,948816
Del Norte County,California,27507
El Dorado County,California,156299
Fresno County,California,799407
Glenn County,California,26453
Humboldt County,California,126518
Imperial County,California,142361
Inyo County,California,17945
Kern County,California,661645
Kings County,California,129461
Lake County,California,58309
Lassen County,California,33828
Los Angeles County,California,9519338
Madera County,California,123109
Marin County,California,247289
Mariposa County,California,17130
Mendocino County,California,86265
Merced County,California,210554
Modoc County,California,9449
Mono County,California,12853
Monterey County,California,401762
Napa County,California,124279
Nevada County,California,92033
Orange County,California,2846289
Placer County,California,248399
Plumas County,California,20824
Riverside County,California,1545387
Sacramento County,California,1223499
San Benito County,California,53234
San Bernardino County,California,1709434
San Diego County,California,2813833
"San Francisco, City and County of",California,776733
San Joaquin County,California,563598
San Luis Obispo County,California,246681
San Mateo County,California,707161
Santa Barbara County,California,399347
Santa Clara County,California,1682585
Santa Cruz County,California,255602
Shasta County,California,163256
Sierra County,California,3555
Siskiyou County,California,44301
Solano County,California,394542
Sonoma County,California,458614
Stanislaus County,California,446997
Sutter County,California,78930
Tehama County,California,56039
Trinity County,California,13022
Tulare County,California,368021
Tuolumne County,California,54501
Ventura County,California,753197
Yolo County,California,168660
Yuba County,California,60219
Adams County,Colorado,363857
Alamosa County,Colorado,14966
Arapahoe County,Colorado,487967
Archuleta County,Colorado,9898
Baca County,Colorado,4517
Bent County,Colorado,5998
Boulder County,Colorado,291288
"Broomfield, City and County of",Colorado,
Chaffee County,Colorado,16242
Cheyenne County,Colorado,2231
Clear Creek County,Colorado,9322
Conejos County,Colorado,8400
Costilla County,Colorado,3663
Crowley County,Colorado,5518
Custer County,Colorado,3503
Delta County,Colorado,27834
"Denver, City and County of",Colorado,554636
Dolores County,Colorado,1844
Douglas County,Colorado,175766
Eagle County,Colorado,41659
Elbert County,Colorado,19872
El Paso County,Colorado,516929
Fremont County,Colorado,46145
Garfield County,Colorado,43791
Gilpin County,Colorado,4757
Grand County,Colorado,12442
Gunnison County,Colorado,13956
Hinsdale County,Colorado,790
Huerfano County,Colorado,7862
Jackson County,Colorado,1577
Jefferson County,Colorado,527056
Kiowa County,Colorado,1622
Kit Carson County,Colorado,8011
Lake County,Colorado,7812
La Plata County,Colorado,43941
Larimer County,Colorado,251494
Las Animas County,Colorado,15207
Lincoln County,Colorado,6087
Logan County,Colorado,20504
Mesa County,Colorado,116255
Mineral County,Colorado,831
Moffat County,Colorado,13184
Montezuma County,Colorado,23830
Montrose County,Colorado,33432
Morgan County,Colorado,27171
Otero County,Colorado,20311
Ouray County,Colorado,3742
Park County,Colorado,14523
Phillips County,Colorado,4480
Pitkin County,Colorado,14872
Prowers County,Colorado,14483
Pueblo County,Colorado,141472
Rio Blanco County,Colorado,5986
Rio Grande County,Colorado,12413
Routt County,Colorado,19690
Saguache County,Colorado,5917
San Juan County,Colorado,558
San Miguel County,Colorado,6594
Sedgwick County,Colorado,2747
Summit County,Colorado,23548
Teller County,Colorado,20555
Washington County,Colorado,4926
Weld County,Colorado,180936
Yuma County,Colorado,9841
Fairfield County,Connecticut,882567
Hartford County,Connecticut,857183
Litchfield County,Connecticut,182193
Middlesex County,Connecticut,155071
New Haven County,Connecticut,824008
New London County,Connecticut,259088
Tolland County,Connecticut,136364
Windham County,Connecticut,109091
Kent County,Delaware,126697
New Castle County,Delaware,500265
Sussex County,Delaware,156638
District of Columbia,District of Columbia,572059
Alachua County,Florida,217955
Baker County,Florida,22259
Bay County,Florida,148217
Bradford County,Florida,26088
Brevard County,Florida,476230
Broward County,Florida,1623018
Calhoun County,Florida,13017
Charlotte County,Florida,141627
Citrus County,Florida,118085
Clay County,Florida,140814
Collier County,Florida,251377
Columbia County,Florida,56513
DeSoto County,Florida,32209
Dixie County,Florida,13827
Duval County,Florida,778879
Escambia County,Florida,294410
Flagler County,Florida,49832
Franklin County,Florida,11057
Gadsden County,Florida,45087
Gilchrist County,Florida,14437
Glades County,Florida,10576
Gulf County,Florida,13332
Hamilton County,Florida,13327
Hardee County,Florida,26938
Hendry County,Florida,36210
Hernando County,Florida,130802
Highlands County,Florida,87366
Hillsborough County,Florida,998948
Holmes County,Florida,18564
Indian River County,Florida,112947
Jackson County,Florida,46755
Jefferson County,Florida,12902
Lafayette County,Florida,7022
Lake County,Florida,210528
Lee County,Florida,440888
Leon County,Florida,239452
Levy County,Florida,34450
Liberty County,Florida,7021
Madison County,Florida,18733
Manatee County,Florida,264002
Marion County,Florida,258916
Martin County,Florida,126731
Miami-Dade County,Florida,2253362
Monroe County,Florida,79589
Nassau County,Florida,57663
Okaloosa County,Florida,170498
Okeechobee County,Florida,35910
Orange County,Florida,896344
Osceola County,Florida,172493
Palm Beach County,Florida,1131184
Pasco County,Florida,344765
Pinellas County,Florida,921482
Polk County,Florida,483924
Putnam County,Florida,70423
St. Johns County,Florida,123135
St. Lucie County,Florida,192695
Santa Rosa County,Florida,117743
Sarasota County,Florida,325957
Seminole County,Florida,365196
Sumter County,Florida,53345
Suwannee County,Florida,34844
Taylor County,Florida,19256
Union County,Florida,13442
Volusia County,Florida,443343
Wakulla County,Florida,22863
Walton County,Florida,40601
Washington County,Florida,20973
Appling County,Georgia,17419
Atkinson County,Georgia,7609
Bacon County,Georgia,10103
Baker County,Georgia,4074
Baldwin County,Georgia,44700
Banks County,Georgia,14422
Barrow County,Georgia,46144
Bartow County,Georgia,76019
Ben Hill County,Georgia,17484
Berrien County,Georgia,16235
Bibb County,Georgia,153887
Bleckley County,Georgia,11666
Brantley County,Georgia,14629
Brooks County,Georgia,16450
Bryan County,Georgia,23417
Bulloch County,Georgia,55983
Burke County,Georgia,22243
Butts County,Georgia,19522
Calhoun County,Georgia,6320
Camden County,Georgia,43664
Candler County,Georgia,9577
Carroll County,Georgia,87268
Catoosa County,Georgia,53282
Charlton County,Georgia,10282
Chatham County,Georgia,232048
Chattahoochee County,Georgia,14882
Chattooga County,Georgia,25470
Cherokee County,Georgia,141903
Clarke County,Georgia,101489
Clay County,Georgia,3357
Clayton County,Georgia,236517
Clinch County,Georgia,6878
Cobb County,Georgia,607751
Coffee County,Georgia,37413
Colquitt County,Georgia,42053
Columbia County,Georgia,89288
Cook County,Georgia,15771
Coweta County,Georgia,89215
Crawford County,Georgia,12495
Crisp County,Georgia,21996
Dade County,Georgia,15154
Dawson County,Georgia,15999
Decatur County,Georgia,28240
DeKalb County,Georgia,665865
Dodge County,Georgia,19171
Dooly County,Georgia,11525
Dougherty County,Georgia,96065
Douglas County,Georgia,92174
Early County,Georgia,12354
Echols County,Georgia,3754
Effingham County,Georgia,37535
Elbert County,Georgia,20511
Emanuel County,Georgia,21837
Evans County,Georgia,10495
Fannin County,Georgia,19798
Fayette County,Georgia,91263
Floyd County,Georgia,90565
Forsyth County,Georgia,98407
Franklin County,Georgia,20285
Fulton County,Georgia,816006
Gilmer County,Georgia,23456
Glascock County,Georgia,2556
Glynn County,Georgia,67568
Gordon County,Georgia,44104
Grady County,Georgia,23659
Greene County,Georgia,14406
Gwinnett County,Georgia,588448
Habersham County,Georgia,35902
Hall County,Georgia,139277
Hancock County,Georgia,10076
Haralson County,Georgia,25690
Harris County,Georgia,23695
Hart County,Georgia,22997
Heard County,Georgia,11012
Henry County,Georgia,119341
Houston County,Georgia,110765
Irwin County,Georgia,9931
Jackson County,Georgia,41589
Jasper County,Georgia,11426
Jeff Davis County,Georgia,12684
Jefferson County,Georgia,17266
Jenkins County,Georgia,8575
Johnson County,Georgia,8560
Jones County,Georgia,23639
Lamar County,Georgia,15912
Lanier County,Georgia,7241
Laurens County,Georgia,44874
Lee County,Georgia,24757
Liberty County,Georgia,61610
Lincoln County,Georgia,8348
Long County,Georgia,10304
Lowndes County,Georgia,92115
Lumpkin County,Georgia,21016
McDuffie County,Georgia,21231
McIntosh County,Georgia,10847
Macon County,Georgia,14074
Madison County,Georgia,25730
Marion County,Georgia,7144
Meriwether County,Georgia,22534
Miller County,Georgia,6383
Mitchell County,Georgia,23932
Monroe County,Georgia,21757
Montgomery County,Georgia,8270
Morgan County,Georgia,15457
Murray County,Georgia,36506
Muscogee County,Georgia,186291
Newton County,Georgia,62001
Oconee County,Georgia,26225
Oglethorpe County,Georgia,12635
Paulding County,Georgia,81678
Peach County,Georgia,23668
Pickens County,Georgia,22983
Pierce County,Georgia,15636
Pike County,Georgia,13688
Polk County,Georgia,38127
Pulaski County,Georgia,9588
Putnam County,Georgia,18812
Quitman County,Georgia,2598
Rabun County,Georgia,15050
Randolph County,Georgia,7791
Richmond County,Georgia,199775
Rockdale County,Georgia,70111
Schley County,Georgia,3766
Screven County,Georgia,15374
Seminole County,Georgia,9369
Spalding County,Georgia,58417
Stephens County,Georgia,25435
Stewart County,Georgia,5252
Sumter County,Georgia,33200
Talbot County,Georgia,6498
Taliaferro County,Georgia,2077
Tattnall County,Georgia,22305
Taylor County,Georgia,8815
Telfair County,Georgia,11794
Terrell County,Georgia,10970
Thomas County,Georgia,42737
Tift County,Georgia,38407
Toombs County,Georgia,26067
Towns County,Georgia,9319
Treutlen County,Georgia,6854
Troup County,Georgia,58779
Turner County,Georgia,9504
Twiggs County,Georgia,10590
Union County,Georgia,17289
Upson County,Georgia,27597
Walker County,Georgia,61053
Walton County,Georgia,60687
Ware County,Georgia,35483
Warren County,Georgia,6336
Washington County,Georgia,21176
Wayne County,Georgia,26565
Webster County,Georgia,2390
Wheeler County,Georgia,6179
White County,Georgia,19944
Whitfield County,Georgia,83525
Wilcox County,Georgia,8577
Wilkes County,Georgia,10687
Wilkinson County,Georgia,10220
Worth County,Georgia,21967
Hawaii County,Hawai_i,148677
"Honolulu, City and County of",Hawai_i,876156
Kalawao County,Hawai_i,147
Kauai County,Hawai_i,58463
Maui County,Hawai_i,128094
Ada County,Idaho,300904
Adams County,Idaho,3476
Bannock County,Idaho,75565
Bear Lake County,Idaho,6411
Benewah County,Idaho,9171
Bingham County,Idaho,41735
Blaine County,Idaho,18991
Boise County,Idaho,6670
Bonner County,Idaho,36835
Bonneville County,Idaho,82522
Boundary County,Idaho,9871
Butte County,Idaho,2899
Camas County,Idaho,991
Canyon County,Idaho,131441
Caribou County,Idaho,7304
Cassia County,Idaho,21416
Clark County,Idaho,1022
Clearwater County,Idaho,8930
Custer County,Idaho,4342
Elmore County,Idaho,29130
Franklin County,Idaho,11329
Fremont County,Idaho,11819
Gem County,Idaho,15181
Gooding County,Idaho,14155
Idaho County,Idaho,15511
Jefferson County,Idaho,19155
Jerome County,Idaho,18342
Kootenai County,Idaho,108685
Latah County,Idaho,34935
Lemhi County,Idaho,7806
Lewis County,Idaho,3747
Lincoln County,Idaho,4044
Madison County,Idaho,27467
Minidoka County,Idaho,20174
Nez Perce County,Idaho,37410
Oneida County,Idaho,4125
Owyhee County,Idaho,10644
Payette County,Idaho,20578
Power County,Idaho,7538
Shoshone County,Idaho,13771
Teton County,Idaho,5999
Twin Falls County,Idaho,64284
Valley County,Idaho,7651
Washington County,Idaho,9977
Adams County,Illinois,68277
Alexander County,Illinois,9590
Bond County,Illinois,17633
Boone County,Illinois,41786
Brown County,Illinois,6950
Bureau County,Illinois,35503
Calhoun County,Illinois,5084
Carroll County,Illinois,16674
Cass County,Illinois,13695
Champaign County,Illinois,179669
Christian County,Illinois,35372
Clark County,Illinois,17008
Clay County,Illinois,14560
Clinton County,Illinois,35535
Coles County,Illinois,53196
Cook County,Illinois,5376741
Crawford County,Illinois,20452
Cumberland County,Illinois,11253
DeKalb County,Illinois,88969
De Witt County,Illinois,16798
Douglas County,Illinois,19922
DuPage County,Illinois,904161
Edgar County,Illinois,19704
Edwards County,Illinois,6971
Effingham County,Illinois,34264
Fayette County,Illinois,21802
Ford County,Illinois,14241
Franklin County,Illinois,39018
Fulton County,Illinois,38250
Gallatin County,Illinois,6445
Greene County,Illinois,14761
Grundy County,Illinois,37535
Hamilton County,Illinois,8621
Hancock County,Illinois,20121
Hardin County,Illinois,4800
Henderson County,Illinois,8213
Henry County,Illinois,51020
Iroquois County,Illinois,31334
Jackson County,Illinois,59612
Jasper County,Illinois,10117
Jefferson County,Illinois,40045
Jersey County,Illinois,21668
Jo Daviess County,Illinois,22289
Johnson County,Illinois,12878
Kane County,Illinois,404119
Kankakee County,Illinois,103833
Kendall County,Illinois,54544
Knox County,Illinois,55836
Lake County,Illinois,644356
LaSalle County,Illinois,111509
Lawrence County,Illinois,15452
Lee County,Illinois,36062
Livingston County,Illinois,39678
Logan County,Illinois,31183
McDonough County,Illinois,32913
McHenry County,Illinois,260077
McLean County,Illinois,150433
Macon County,Illinois,114706
Macoupin County,Illinois,49019
Madison County,Illinois,258941
Marion County,Illinois,41691
Marshall County,Illinois,13180
Mason County,Illinois,16038
Massac County,Illinois,15161
Menard County,Illinois,12486
Mercer County,Illinois,16957
Monroe County,Illinois,27619
Montgomery County,Illinois,30652
Morgan County,Illinois,36616
Moultrie County,Illinois,14287
Ogle County,Illinois,51032
Peoria County,Illinois,183433
Perry County,Illinois,23094
Piatt County,Illinois,16365
Pike County,Illinois,17384
Pope County,Illinois,4413
Pulaski County,Illinois,7348
Putnam County,Illinois,6086
Randolph County,Illinois,33893
Richland County,Illinois,16149
Rock Island County,Illinois,149374
St. Clair County,Illinois,256082
Saline County,Illinois,26733
Sangamon County,Illinois,188951
Schuyler County,Illinois,7189
Scott County,Illinois,5537
Shelby County,Illinois,22893
Stark County,Illinois,6332
Stephenson County,Illinois,48979
Tazewell County,Illinois,128485
Union County,Illinois,18293
Vermilion County,Illinois,83919
Wabash County,Illinois,12937
Warren County,Illinois,18735
Washington County,Illinois,15148
Wayne County,Illinois,17151
White County,Illinois,15371
Whiteside County,Illinois,60653
Will County,Illinois,502266
Williamson County,Illinois,61296
Winnebago County,Illinois,278418
Woodford County,Illinois,35469
Adams County,Indiana,33625
Allen County,Indiana,331849
Bartholomew County,Indiana,71435
Benton County,Indiana,9421
Blackford County,Indiana,14048
Boone County,Indiana,46107
Brown County,Indiana,14957
Carroll County,Indiana,20165
Cass County,Indiana,40930
Clark County,Indiana,96472
Clay County,Indiana,26556
Clinton County,Indiana,33866
Crawford County,Indiana,10743
Daviess County,Indiana,29820
Dearborn County,Indiana,46109
Decatur County,Indiana,24555
DeKalb County,Indiana,40285
Delaware County,Indiana,118769
Dubois County,Indiana,39674
Elkhart County,Indiana,182791
Fayette County,Indiana,25588
Floyd County,Indiana,70823
Fountain County,Indiana,17954
Franklin County,Indiana,22151
Fulton County,Indiana,20511
Gibson County,Indiana,32500
Grant County,Indiana,73403
Greene County,Indiana,33157
Hamilton County,Indiana,182740
Hancock County,Indiana,55391
Harrison County,Indiana,34325
Hendricks County,Indiana,104093
Henry County,Indiana,48508
Howard County,Indiana,84964
Huntington County,Indiana,38075
Jackson County,Indiana,41335
Jasper County,Indiana,30043
Jay County,Indiana,21806
Jefferson County,Indiana,31705
Jennings County,Indiana,27554
Johnson County,Indiana,115209
Knox County,Indiana,39256
Kosciusko County,Indiana,74057
LaGrange County,Indiana,34909
Lake County,Indiana,484564
LaPorte County,Indiana,110106
Lawrence County,Indiana,45922
Madison County,Indiana,133358
Marion County,Indiana,860454
Marshall County,Indiana,45128
Martin County,Indiana,10369
Miami County,Indiana,36082
Monroe County,Indiana,120563
Montgomery County,Indiana,37629
Morgan County,Indiana,66689
Newton County,Indiana,14566
Noble County,Indiana,46275
Ohio County,Indiana,5623
Orange County,Indiana,19306
Owen County,Indiana,21786
Parke County,Indiana,17241
Perry County,Indiana,18899
Pike County,Indiana,12837
Porter County,Indiana,146798
Posey County,Indiana,27061
Pulaski County,Indiana,13755
Putnam County,Indiana,36019
Randolph County,Indiana,27401
Ripley County,Indiana,26523
Rush County,Indiana,18261
St. Joseph County,Indiana,265559
Scott County,Indiana,22960
Shelby County,Indiana,43445
Spencer County,Indiana,20391
Starke County,Indiana,23556
Steuben County,Indiana,33214
Sullivan County,Indiana,21751
Switzerland County,Indiana,9065
Tippecanoe County,Indiana,148955
Tipton County,Indiana,16577
Union County,Indiana,7349
Vanderburgh County,Indiana,171922
Vermillion County,Indiana,16788
Vigo County,Indiana,105848
Wabash County,Indiana,34960
Warren County,Indiana,8419
Warrick County,Indiana,52383
Washington County,Indiana,27223
Wayne County,Indiana,71097
Wells County,Indiana,27600
White County,Indiana,25267
Whitley County,Indiana,30707
Adair County,Iowa,8243
Adams County,Iowa,4482
Allamakee County,Iowa,14675
Appanoose County,Iowa,13721
Audubon County,Iowa,6830
Benton County,Iowa,25308
Black Hawk County,Iowa,128012
Boone County,Iowa,26224
Bremer County,Iowa,23325
Buchanan County,Iowa,21093
Buena Vista County,Iowa,20411
Butler County,Iowa,15305
Calhoun County,Iowa,11115
Carroll County,Iowa,21421
Cass County,Iowa,14684
Cedar County,Iowa,18187
Cerro Gordo County,Iowa,46447
Cherokee County,Iowa,13035
Chickasaw County,Iowa,13095
Clarke County,Iowa,9133
Clay County,Iowa,17372
Clayton County,Iowa,18678
Clinton County,Iowa,50149
Crawford County,Iowa,16942
Dallas County,Iowa,40750
Davis County,Iowa,8541
Decatur County,Iowa,8689
Delaware County,Iowa,18404
Des Moines County,Iowa,42351
Dickinson County,Iowa,16424
Dubuque County,Iowa,89143
Emmet County,Iowa,11027
Fayette County,Iowa,22008
Floyd County,Iowa,16900
Franklin County,Iowa,10704
Fremont County,Iowa,8010
Greene County,Iowa,10366
Grundy County,Iowa,12369
Guthrie County,Iowa,11353
Hamilton County,Iowa,16438
Hancock County,Iowa,12100
Hardin County,Iowa,18812
Harrison County,Iowa,15666
Henry County,Iowa,20336
Howard County,Iowa,9932
Humboldt County,Iowa,10381
Ida County,Iowa,7837
Iowa County,Iowa,15671
Jackson County,Iowa,20296
Jasper County,Iowa,37213
Jefferson County,Iowa,16181
Johnson County,Iowa,111006
Jones County,Iowa,20221
Keokuk County,Iowa,11400
Kossuth County,Iowa,17163
Lee County,Iowa,38052
Linn County,Iowa,191701
Louisa County,Iowa,12183
Lucas County,Iowa,9422
Lyon County,Iowa,11763
Madison County,Iowa,14019
Mahaska County,Iowa,22335
Marion County,Iowa,32052
Marshall County,Iowa,39311
Mills County,Iowa,14547
Mitchell County,Iowa,10874
Monona County,Iowa,10020
Monroe County,Iowa,8016
Montgomery County,Iowa,11771
Muscatine County,Iowa,41722
O'Brien County,Iowa,15102
Osceola County,Iowa,7003
Page County,Iowa,16976
Palo Alto County,Iowa,10147
Plymouth County,Iowa,24849
Pocahontas County,Iowa,8662
Polk County,Iowa,374601
Pottawattamie County,Iowa,87704
Poweshiek County,Iowa,18815
Ringgold County,Iowa,5469
Sac County,Iowa,11529
Scott County,Iowa,158668
Shelby County,Iowa,13173
Sioux County,Iowa,31589
Story County,Iowa,79981
Tama County,Iowa,18103
Taylor County,Iowa,6958
Union County,Iowa,12309
Van Buren County,Iowa,7809
Wapello County,Iowa,36051
Warren County,Iowa,40671
Washington County,Iowa,20670
Wayne County,Iowa,6730
Webster County,Iowa,40235
Winnebago County,Iowa,11723
Winneshiek County,Iowa,21310
Woodbury County,Iowa,103877
Worth County,Iowa,7909
Wright County,Iowa,14334
Allen County,Kansas,14385
Anderson County,Kansas,8110
Atchison County,Kansas,16774
Barber County,Kansas,5307
